Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission
obese,female,omnivore,less frequently,natural gas,public,,sometimes,137,rarely,1632,large,2,13,23,20,No,['Metal'],['Microwave'],174.2
obese,female,pescatarian,less frequently,natural gas,public,,never,54,rarely,69,extra large,5,0,15,17,Sometimes,"['Glass', 'Metal']","['Stove', 'Microwave']",162.8
obese,male,pescatarian,more frequently,electricity,public,,often,219,never,1876,large,4,14,37,14,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",209
normal,male,vegan,daily,coal,public,,sometimes,68,never,158,medium,3,5,38,7,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",132.7
obese,female,omnivore,daily,coal,public,,never,289,frequently,838,extra large,6,18,5,6,Yes,"['Glass', 'Metal']",['Oven'],267.3
overweight,male,vegetarian,more frequently,electricity,private,diesel,sometimes,76,rarely,2723,large,7,6,28,17,No,"['Plastic', 'Glass']","['Stove', 'Microwave']",266.4
underweight,female,vegan,twice a day,electricity,public,,never,67,frequently,593,medium,2,11,26,17,Sometimes,['Paper'],['Microwave'],123.9
normal,female,vegan,daily,wood,private,petrol,sometimes,296,never,4910,extra large,5,5,40,22,Sometimes,"['Plastic', 'Glass', 'Metal']",['Oven'],299.1
overweight,female,omnivore,twice a day,natural gas,walk/bicycle,,never,244,rarely,61,medium,7,0,19,9,Sometimes,"['Plastic', 'Glass']","['Stove', 'Microwave']",168.8
normal,female,omnivore,daily,coal,walk/bicycle,,often,105,rarely,54,small,2,7,49,6,Yes,"['Paper', 'Metal']","['Microwave', 'Grill', 'Airfryer']",156.3
overweight,male,pescatarian,daily,natural gas,private,diesel,often,275,rarely,4425,medium,2,11,13,23,Sometimes,['Plastic'],"['Oven', 'Grill', 'Airfryer']",312.7
obese,male,omnivore,more frequently,coal,walk/bicycle,,never,83,very frequently,85,large,6,0,41,22,Yes,['Plastic'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",409.5
overweight,female,vegetarian,more frequently,coal,private,hybrid,sometimes,162,rarely,7434,medium,6,14,14,5,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",248.6
obese,male,omnivore,less frequently,electricity,private,petrol,never,209,frequently,7258,large,1,9,27,18,No,"['Paper', 'Metal']","['Oven', 'Microwave']",508.2
obese,male,vegan,twice a day,wood,walk/bicycle,,never,76,never,7,extra large,5,2,39,22,Yes,['Paper'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",216
obese,male,vegetarian,daily,coal,walk/bicycle,,sometimes,72,frequently,74,small,3,2,19,5,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",209.1
normal,male,vegan,twice a day,electricity,walk/bicycle,,sometimes,282,never,37,extra large,5,14,30,22,No,"['Paper', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",169.6
overweight,male,vegan,more frequently,coal,private,electric,sometimes,298,never,1170,small,1,15,1,22,Yes,"['Glass', 'Metal']",['Microwave'],100.9
underweight,male,omnivore,twice a day,wood,private,hybrid,never,170,never,6890,small,2,15,39,11,Yes,"['Paper', 'Glass', 'Metal']",['Microwave'],213.4
obese,male,vegan,less frequently,coal,public,,sometimes,234,rarely,506,small,4,12,43,0,Yes,['Metal'],"['Stove', 'Oven']",204.7
normal,male,omnivore,more frequently,natural gas,walk/bicycle,,often,282,never,99,large,6,10,28,14,Sometimes,['Plastic'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",219
overweight,female,vegetarian,daily,natural gas,private,electric,never,215,never,1695,small,6,22,31,24,Yes,"['Paper', 'Metal']","['Stove', 'Microwave']",117.7
overweight,female,pescatarian,twice a day,electricity,private,electric,never,175,frequently,5671,small,4,16,45,14,Yes,"['Plastic', 'Glass']","['Stove', 'Oven']",181.4
underweight,female,omnivore,daily,electricity,private,electric,often,190,never,8553,medium,6,6,44,19,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",128.4
underweight,male,pescatarian,more frequently,coal,public,,often,73,rarely,1418,large,7,15,6,12,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",183.9
underweight,female,pescatarian,twice a day,electricity,public,,never,214,rarely,382,large,3,10,24,18,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",102.6
underweight,female,omnivore,twice a day,natural gas,private,lpg,often,127,never,5005,large,6,20,37,6,Yes,"['Paper', 'Plastic', 'Glass']","['Grill', 'Airfryer']",260
normal,female,vegetarian,twice a day,electricity,walk/bicycle,,often,62,very frequently,77,extra large,4,3,33,10,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave']",218.9
underweight,male,vegetarian,daily,electricity,public,,sometimes,199,rarely,194,large,2,17,45,5,Sometimes,[],['Stove'],150
underweight,male,vegetarian,more frequently,wood,public,,never,256,frequently,1446,small,6,16,25,5,Sometimes,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave']",168.5
normal,female,vegan,daily,coal,walk/bicycle,,sometimes,223,frequently,58,medium,6,13,26,7,Sometimes,"['Paper', 'Glass']","['Microwave', 'Grill', 'Airfryer']",191.4
overweight,female,vegan,less frequently,natural gas,private,hybrid,never,185,rarely,7570,extra large,2,14,48,13,No,"['Paper', 'Glass']","['Microwave', 'Grill', 'Airfryer']",284.5
underweight,female,vegan,daily,natural gas,private,hybrid,often,125,rarely,8298,large,2,4,12,12,Sometimes,"['Glass', 'Metal']","['Oven', 'Microwave']",215.2
overweight,female,pescatarian,more frequently,coal,private,electric,often,294,very frequently,3216,small,1,5,20,21,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",257.7
obese,female,omnivore,twice a day,coal,private,lpg,often,187,rarely,9945,medium,3,1,9,13,Yes,"['Paper', 'Plastic', 'Glass']",['Stove'],422
underweight,male,pescatarian,less frequently,natural gas,public,,often,155,never,499,large,6,17,5,2,Yes,"['Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",119.9
underweight,female,vegan,more frequently,wood,public,,often,277,frequently,1426,large,3,4,13,16,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",155.2
obese,male,omnivore,twice a day,coal,private,electric,never,296,very frequently,95,small,5,9,15,11,Yes,"['Paper', 'Plastic']",['Stove'],329.4
obese,female,vegan,daily,coal,private,diesel,often,213,very frequently,1467,small,6,7,28,1,Sometimes,"['Glass', 'Metal']","['Stove', 'Microwave']",324.3
normal,female,pescatarian,twice a day,coal,public,,often,269,never,1172,extra large,2,7,44,20,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",167.5
normal,female,vegetarian,twice a day,electricity,public,,often,86,rarely,1212,small,7,6,24,3,No,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",130.4
underweight,male,omnivore,twice a day,electricity,walk/bicycle,,often,228,very frequently,99,large,6,13,24,18,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",287.8
underweight,male,pescatarian,twice a day,electricity,private,hybrid,never,243,never,2787,large,2,21,16,14,Yes,"['Paper', 'Metal']",['Oven'],112.6
underweight,male,omnivore,twice a day,natural gas,walk/bicycle,,sometimes,276,rarely,7,large,3,10,28,12,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",148.9
normal,male,omnivore,more frequently,electricity,private,electric,often,292,frequently,3347,medium,4,24,40,0,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",195.4
underweight,female,vegan,daily,electricity,public,,never,282,frequently,1475,large,7,0,31,9,Sometimes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",195.7
obese,female,pescatarian,less frequently,natural gas,public,,often,74,very frequently,1873,extra large,7,9,36,23,No,"['Glass', 'Metal']",[],377.8
underweight,female,vegan,twice a day,natural gas,public,,never,208,very frequently,1661,extra large,2,24,29,10,Yes,"['Glass', 'Metal']","['Grill', 'Airfryer']",206.9
normal,male,omnivore,less frequently,coal,public,,never,260,frequently,774,large,2,6,34,24,No,"['Paper', 'Plastic', 'Metal']",['Oven'],242.1
normal,male,vegan,more frequently,electricity,public,,often,294,very frequently,1043,medium,2,5,42,15,No,['Metal'],"['Stove', 'Oven', 'Grill', 'Airfryer']",280.1
obese,female,pescatarian,twice a day,electricity,private,petrol,often,52,frequently,9006,small,4,19,46,23,Sometimes,"['Paper', 'Metal']",[],554.7
obese,male,vegan,daily,natural gas,walk/bicycle,,never,229,frequently,15,extra large,2,22,22,12,No,['Paper'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",234.3
obese,male,vegetarian,more frequently,natural gas,public,,often,291,never,1199,extra large,5,0,21,15,No,"['Paper', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",223.2
obese,female,vegetarian,less frequently,coal,walk/bicycle,,never,184,frequently,20,large,2,12,34,9,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Grill', 'Airfryer']",230.9
underweight,male,vegan,more frequently,wood,private,diesel,sometimes,131,rarely,4058,extra large,3,11,14,17,No,"['Paper', 'Glass', 'Metal']",['Stove'],223.3
underweight,male,vegan,less frequently,wood,walk/bicycle,,never,288,frequently,95,small,4,20,8,7,Yes,"['Paper', 'Plastic']","['Stove', 'Microwave']",141.9
overweight,male,omnivore,less frequently,coal,walk/bicycle,,never,192,frequently,71,medium,5,20,3,13,Yes,"['Paper', 'Plastic']","['Oven', 'Grill', 'Airfryer']",208.7
overweight,female,vegetarian,more frequently,electricity,public,,sometimes,175,very frequently,1603,large,5,6,44,22,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",282.9
overweight,female,pescatarian,daily,natural gas,public,,often,64,very frequently,1595,large,2,16,49,4,Sometimes,['Metal'],"['Oven', 'Grill', 'Airfryer']",305.7
overweight,male,vegan,twice a day,coal,walk/bicycle,,often,62,frequently,92,large,4,10,9,1,Sometimes,['Plastic'],"['Stove', 'Grill', 'Airfryer']",233.7
normal,female,vegetarian,daily,natural gas,walk/bicycle,,sometimes,56,frequently,80,medium,3,19,50,5,No,"['Glass', 'Metal']",['Oven'],165.1
obese,male,vegetarian,twice a day,electricity,walk/bicycle,,sometimes,209,frequently,21,large,3,7,31,6,Sometimes,['Paper'],"['Grill', 'Airfryer']",221.4
underweight,female,omnivore,less frequently,electricity,walk/bicycle,,often,136,frequently,31,medium,3,6,15,19,No,"['Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",140.2
underweight,male,pescatarian,twice a day,wood,walk/bicycle,,often,284,very frequently,3,small,2,7,12,12,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven']",231.7
obese,male,vegetarian,twice a day,coal,private,electric,sometimes,276,never,2698,medium,1,9,50,4,Yes,['Paper'],"['Stove', 'Oven', 'Microwave']",202.7
normal,female,pescatarian,less frequently,natural gas,private,electric,often,209,never,1580,large,5,2,19,19,Sometimes,['Glass'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",154.3
overweight,female,omnivore,less frequently,wood,private,lpg,never,86,rarely,5541,small,3,24,0,17,Sometimes,['Plastic'],"['Microwave', 'Grill', 'Airfryer']",252.2
obese,female,omnivore,more frequently,electricity,private,petrol,sometimes,238,rarely,7014,large,2,1,10,8,Sometimes,['Plastic'],"['Stove', 'Grill', 'Airfryer']",399.6
normal,male,omnivore,more frequently,coal,public,,sometimes,79,very frequently,1122,medium,5,10,5,19,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",267.3
obese,male,vegan,less frequently,coal,private,petrol,sometimes,200,never,1644,small,3,3,27,11,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",223.5
normal,female,vegetarian,twice a day,natural gas,public,,never,214,rarely,1854,large,3,16,29,9,Yes,['Metal'],"['Oven', 'Grill', 'Airfryer']",137.8
underweight,male,pescatarian,daily,natural gas,walk/bicycle,,often,59,very frequently,72,extra large,6,4,39,7,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",293.9
obese,male,vegan,more frequently,electricity,private,petrol,sometimes,235,very frequently,4383,small,2,9,6,21,Sometimes,"['Plastic', 'Metal']",['Stove'],431.1
overweight,female,pescatarian,more frequently,coal,walk/bicycle,,never,50,frequently,69,medium,7,11,28,24,Sometimes,"['Paper', 'Metal']",['Stove'],210.7
underweight,female,omnivore,twice a day,natural gas,private,petrol,sometimes,122,never,5954,extra large,4,14,11,21,No,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",341.9
normal,male,vegetarian,less frequently,wood,private,diesel,often,218,rarely,9258,small,4,12,20,20,Yes,['Paper'],['Stove'],371.3
obese,male,vegan,daily,natural gas,private,electric,never,156,frequently,2041,large,1,17,0,18,Sometimes,"['Plastic', 'Glass', 'Metal']",['Oven'],148.4
underweight,male,omnivore,more frequently,coal,private,electric,sometimes,289,never,2033,extra large,7,1,40,1,Sometimes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",251.7
overweight,female,vegetarian,twice a day,wood,public,,never,168,frequently,1958,medium,7,19,9,9,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",189
overweight,male,vegetarian,more frequently,coal,walk/bicycle,,sometimes,242,frequently,58,large,5,10,38,2,Sometimes,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",307.1
underweight,male,vegan,less frequently,coal,walk/bicycle,,never,73,frequently,92,extra large,4,15,32,8,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",207.3
underweight,female,vegetarian,twice a day,coal,walk/bicycle,,never,145,very frequently,93,extra large,1,9,43,0,Yes,"['Paper', 'Plastic']","['Oven', 'Grill', 'Airfryer']",223.3
underweight,female,omnivore,twice a day,wood,private,electric,often,214,never,7926,extra large,5,19,7,16,No,[],"['Grill', 'Airfryer']",164.4
obese,male,omnivore,daily,electricity,public,,never,117,very frequently,1988,medium,7,15,10,9,No,"['Paper', 'Plastic']","['Microwave', 'Grill', 'Airfryer']",295.7
overweight,male,vegetarian,daily,natural gas,public,,sometimes,118,frequently,757,extra large,4,6,25,9,No,"['Paper', 'Metal']",['Microwave'],227.8
underweight,female,omnivore,more frequently,coal,private,hybrid,often,292,rarely,8497,small,6,22,23,4,Sometimes,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",281.3
overweight,female,pescatarian,more frequently,wood,walk/bicycle,,never,162,frequently,62,small,4,3,42,6,No,"['Plastic', 'Glass']","['Oven', 'Microwave']",198.3
underweight,female,vegan,daily,wood,private,petrol,never,209,rarely,5323,extra large,3,16,3,24,Sometimes,['Glass'],"['Stove', 'Microwave']",277.9
overweight,male,vegetarian,more frequently,electricity,walk/bicycle,,often,222,very frequently,17,medium,5,22,17,1,Yes,"['Paper', 'Glass', 'Metal']",['Microwave'],221.2
obese,male,vegan,twice a day,natural gas,public,,never,181,very frequently,5,small,2,7,16,14,Yes,[],['Oven'],291
underweight,female,pescatarian,daily,coal,public,,sometimes,74,rarely,1997,small,1,20,24,3,Yes,"['Paper', 'Plastic', 'Glass']",[],105.1
overweight,male,vegan,more frequently,natural gas,private,lpg,sometimes,120,frequently,7153,extra large,7,6,17,16,Sometimes,['Metal'],['Oven'],504.4
normal,male,omnivore,more frequently,natural gas,public,,sometimes,163,never,1301,extra large,2,23,33,8,Yes,"['Paper', 'Plastic']","['Oven', 'Microwave', 'Grill', 'Airfryer']",159.5
underweight,male,vegan,twice a day,coal,private,lpg,sometimes,264,frequently,2864,extra large,7,24,47,19,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",374.5
obese,male,vegan,less frequently,coal,private,hybrid,never,252,rarely,6029,medium,3,20,33,15,Sometimes,"['Paper', 'Plastic', 'Glass']",[],308.4
underweight,male,pescatarian,daily,wood,private,electric,sometimes,68,frequently,825,extra large,7,17,21,4,Yes,"['Plastic', 'Metal']","['Oven', 'Microwave']",228
obese,male,pescatarian,twice a day,coal,public,,never,177,very frequently,660,medium,6,12,22,11,Yes,['Glass'],"['Microwave', 'Grill', 'Airfryer']",366.9
normal,female,pescatarian,less frequently,wood,public,,sometimes,94,very frequently,967,small,2,17,6,2,Yes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",172.4
overweight,male,omnivore,more frequently,electricity,public,,never,247,rarely,1111,small,3,0,34,11,Sometimes,['Plastic'],['Microwave'],169.5
overweight,male,vegan,more frequently,electricity,public,,sometimes,144,very frequently,884,small,4,7,19,16,No,"['Paper', 'Metal']",['Oven'],242.3
underweight,male,vegan,daily,coal,private,diesel,never,99,frequently,704,large,6,4,23,3,Sometimes,"['Plastic', 'Metal']","['Grill', 'Airfryer']",213
underweight,female,omnivore,more frequently,natural gas,private,hybrid,often,278,rarely,2514,large,5,20,45,3,Sometimes,"['Paper', 'Metal']",[],222.4
overweight,female,omnivore,twice a day,natural gas,private,petrol,never,89,very frequently,3208,medium,2,5,9,1,No,"['Paper', 'Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",305.8
underweight,male,pescatarian,daily,electricity,public,,never,69,very frequently,1954,small,1,6,25,14,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",199.4
underweight,female,vegetarian,daily,wood,walk/bicycle,,often,62,never,92,large,6,3,37,24,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",160.5
overweight,male,omnivore,more frequently,natural gas,public,,never,110,rarely,1438,extra large,4,16,26,8,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']",[],175.1
overweight,female,vegan,more frequently,natural gas,public,,often,223,frequently,1923,extra large,7,9,0,24,Sometimes,"['Paper', 'Glass']",['Microwave'],240.5
obese,male,pescatarian,daily,natural gas,public,,never,73,frequently,846,extra large,4,4,9,17,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",194.1
obese,female,omnivore,less frequently,coal,walk/bicycle,,never,248,rarely,65,extra large,5,10,7,13,Sometimes,"['Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",219.5
obese,female,omnivore,twice a day,electricity,walk/bicycle,,never,145,frequently,41,small,3,17,47,23,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",210.6
obese,male,pescatarian,twice a day,coal,public,,sometimes,216,rarely,635,extra large,4,11,46,7,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Stove'],251.6
normal,female,vegetarian,twice a day,electricity,private,hybrid,never,255,never,9842,extra large,4,4,46,0,Sometimes,['Plastic'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",295.6
overweight,female,pescatarian,twice a day,natural gas,walk/bicycle,,never,54,frequently,77,large,1,10,46,3,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",167.8
normal,male,omnivore,more frequently,electricity,private,petrol,never,189,never,7953,large,7,15,21,3,No,['Glass'],['Microwave'],435.7
obese,male,vegetarian,less frequently,coal,walk/bicycle,,never,216,frequently,48,small,3,5,31,0,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",224.9
normal,female,pescatarian,daily,natural gas,walk/bicycle,,sometimes,273,never,86,small,7,11,3,8,Yes,"['Paper', 'Metal']","['Microwave', 'Grill', 'Airfryer']",77.6
obese,male,pescatarian,daily,electricity,walk/bicycle,,often,281,frequently,18,extra large,4,23,40,4,Sometimes,"['Glass', 'Metal']","['Stove', 'Oven']",279.4
underweight,female,vegetarian,more frequently,coal,walk/bicycle,,sometimes,171,never,65,extra large,5,14,47,9,Sometimes,['Plastic'],"['Stove', 'Oven']",193.9
normal,female,omnivore,daily,coal,private,hybrid,sometimes,158,frequently,1844,extra large,6,4,9,6,No,"['Paper', 'Glass', 'Metal']",['Oven'],225
underweight,female,pescatarian,more frequently,electricity,walk/bicycle,,sometimes,198,rarely,91,large,7,16,13,8,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",115.5
normal,male,omnivore,twice a day,electricity,public,,often,270,never,1749,medium,6,6,4,16,Yes,"['Paper', 'Glass', 'Metal']",['Oven'],120.3
overweight,male,pescatarian,twice a day,natural gas,private,lpg,sometimes,224,very frequently,4397,small,6,23,1,16,Yes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",403.1
underweight,female,vegetarian,less frequently,wood,public,,often,186,very frequently,1008,extra large,5,13,11,19,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']",236.4
overweight,male,vegan,less frequently,wood,walk/bicycle,,often,122,very frequently,19,medium,5,19,13,23,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",[],244.6
obese,female,pescatarian,twice a day,coal,private,lpg,never,158,frequently,6419,large,6,16,24,15,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",444.5
normal,female,vegetarian,more frequently,electricity,walk/bicycle,,sometimes,91,rarely,95,medium,3,8,45,0,No,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",120.2
normal,female,vegan,more frequently,natural gas,walk/bicycle,,never,186,frequently,8,extra large,5,15,8,0,Yes,"['Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",167
obese,female,pescatarian,twice a day,coal,private,lpg,sometimes,272,very frequently,7008,large,4,3,28,17,No,['Metal'],['Microwave'],513.3
underweight,male,vegan,less frequently,electricity,public,,sometimes,90,very frequently,1601,extra large,7,17,1,5,No,['Metal'],"['Stove', 'Microwave']",269.8
obese,female,pescatarian,less frequently,electricity,walk/bicycle,,often,232,never,0,extra large,7,18,21,8,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",209.2
underweight,male,vegan,more frequently,electricity,private,electric,never,222,rarely,1072,large,3,12,19,8,Yes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",108.6
normal,female,vegetarian,twice a day,coal,public,,often,229,very frequently,695,large,6,13,17,14,No,"['Paper', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",283.5
underweight,female,omnivore,more frequently,coal,walk/bicycle,,never,99,rarely,42,large,1,21,30,3,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",98.7
overweight,male,vegan,twice a day,natural gas,private,electric,often,238,rarely,9316,medium,3,8,29,0,Yes,['Glass'],['Oven'],179
obese,male,vegetarian,less frequently,natural gas,private,lpg,sometimes,54,very frequently,9507,large,5,13,35,13,No,"['Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",662.1
underweight,male,vegetarian,twice a day,wood,public,,often,191,frequently,1635,medium,7,22,18,2,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",[],174.9
normal,female,vegetarian,less frequently,coal,public,,often,97,very frequently,810,large,5,24,20,12,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",272.1
normal,female,vegetarian,daily,natural gas,private,diesel,often,161,rarely,1899,large,6,22,24,17,No,"['Paper', 'Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",190
underweight,male,vegetarian,twice a day,coal,public,,sometimes,259,frequently,103,large,5,8,2,6,No,"['Paper', 'Glass', 'Metal']",['Microwave'],175.6
underweight,male,vegetarian,twice a day,electricity,walk/bicycle,,often,147,frequently,71,extra large,2,18,6,15,Sometimes,"['Glass', 'Metal']",['Stove'],144.9
overweight,male,vegetarian,more frequently,wood,walk/bicycle,,sometimes,212,rarely,86,extra large,1,13,25,1,Sometimes,"['Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",140
underweight,male,omnivore,more frequently,coal,public,,never,263,never,818,small,7,18,17,10,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",144.1
normal,male,pescatarian,daily,electricity,private,lpg,often,206,very frequently,4809,large,4,13,33,11,Sometimes,"['Paper', 'Plastic']","['Oven', 'Grill', 'Airfryer']",403.1
normal,female,vegetarian,less frequently,electricity,walk/bicycle,,often,209,rarely,92,small,3,11,44,14,Sometimes,"['Glass', 'Metal']","['Stove', 'Oven']",128.4
underweight,female,omnivore,twice a day,natural gas,private,electric,never,236,frequently,3610,small,2,12,37,22,No,"['Paper', 'Plastic']","['Stove', 'Microwave']",173.3
normal,female,omnivore,more frequently,wood,private,electric,never,110,rarely,5696,large,4,11,45,12,Sometimes,['Paper'],"['Oven', 'Microwave']",164.5
obese,female,vegetarian,more frequently,natural gas,public,,never,123,never,1795,extra large,3,19,27,23,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",137.4
normal,female,pescatarian,daily,electricity,walk/bicycle,,never,297,very frequently,98,small,5,1,14,0,Yes,"['Paper', 'Metal']","['Grill', 'Airfryer']",167.4
underweight,male,vegetarian,daily,wood,public,,sometimes,159,very frequently,1895,medium,4,22,36,21,Sometimes,"['Paper', 'Metal']","['Stove', 'Microwave']",281.1
normal,female,vegetarian,more frequently,natural gas,public,,sometimes,165,never,1321,small,4,19,9,6,No,['Glass'],"['Grill', 'Airfryer']",100.7
normal,female,pescatarian,less frequently,wood,public,,never,274,frequently,824,small,1,4,13,15,No,"['Paper', 'Glass']",['Oven'],146.6
normal,male,omnivore,daily,electricity,public,,often,282,frequently,984,extra large,1,18,35,2,Yes,['Plastic'],"['Stove', 'Grill', 'Airfryer']",217.3
normal,female,omnivore,daily,electricity,walk/bicycle,,sometimes,212,frequently,95,extra large,6,16,46,10,No,['Plastic'],"['Stove', 'Oven', 'Microwave']",242
overweight,female,omnivore,daily,coal,private,electric,often,80,rarely,9746,large,5,19,25,3,No,"['Paper', 'Plastic', 'Metal']",['Oven'],166
obese,female,vegetarian,more frequently,coal,private,petrol,sometimes,204,very frequently,3315,small,6,7,36,9,Yes,"['Paper', 'Metal']","['Microwave', 'Grill', 'Airfryer']",397.3
normal,female,pescatarian,more frequently,wood,walk/bicycle,,never,98,rarely,32,medium,4,12,46,21,Yes,"['Paper', 'Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",138.7
overweight,male,omnivore,more frequently,coal,private,petrol,never,130,very frequently,7885,extra large,6,6,18,23,Yes,['Metal'],"['Grill', 'Airfryer']",681
underweight,male,pescatarian,more frequently,wood,walk/bicycle,,never,59,frequently,51,small,1,14,2,0,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",113
normal,female,vegetarian,twice a day,natural gas,private,lpg,sometimes,276,never,2916,extra large,5,21,42,8,No,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave']",239.3
normal,male,omnivore,more frequently,natural gas,walk/bicycle,,often,273,never,54,medium,5,12,37,8,No,['Plastic'],[],203.8
overweight,male,vegan,more frequently,coal,public,,sometimes,71,never,1758,small,4,19,29,18,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",165.2
underweight,female,vegetarian,more frequently,wood,public,,often,109,frequently,1414,small,4,1,15,4,No,"['Plastic', 'Metal']","['Stove', 'Microwave']",147.5
obese,male,omnivore,less frequently,natural gas,public,,sometimes,127,never,479,medium,5,1,25,2,Sometimes,[],"['Stove', 'Oven', 'Microwave']",186.7
